altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0.0,17,10,Chicago,110,True,True,Chicago,2020-04-19 22:53:30,41.893992,Chicago,-87.629318,60602,Chicago,Chicago,Dearborn St & Erie St,IN_SERVICE,1,IN_SERVICE,False,27
0.0,12,15,Chicago,111,True,True,Chicago,2020-04-19 20:26:10,41.894666,Chicago,-87.638437,60602,Chicago,Chicago,Sedgwick St & Huron St,IN_SERVICE,1,IN_SERVICE,False,27
0.0,8,6,Chicago,112,True,True,Chicago,2020-04-19 18:05:46,41.883668,Chicago,-87.64867,60602,Chicago,Chicago,Green St & Randolph St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,8,7,Chicago,113,True,True,Chicago,2020-04-19 21:02:33,41.91844,Chicago,-87.65222,60602,Chicago,Chicago,Bissell St & Armitage Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,15,12,Chicago,114,True,True,Chicago,2020-04-19 21:51:32,41.949399,Chicago,-87.654529,60602,Chicago,Chicago,Sheffield Ave & Waveland Ave,IN_SERVICE,1,IN_SERVICE,False,27
0.0,13,9,Chicago,115,True,True,Chicago,2020-04-19 21:47:47,41.936266,Chicago,-87.652662,60602,Chicago,Chicago,Sheffield Ave & Wellington Ave,IN_SERVICE,1,IN_SERVICE,False,23
0.0,6,9,Chicago,116,True,True,Chicago,2020-04-19 20:00:47,41.91552,Chicago,-87.687022,60602,Chicago,Chicago,Western Ave & Winnebago Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,13,14,Chicago,117,True,True,Chicago,2020-04-19 20:05:42,41.94018,Chicago,-87.65304,60602,Chicago,Chicago,Wilton Ave & Belmont Ave,IN_SERVICE,1,IN_SERVICE,False,27
0.0,5,14,Chicago,118,True,True,Chicago,2020-04-19 19:01:40,41.911386,Chicago,-87.638677,60602,Chicago,Chicago,Sedgwick St & North Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,11,8,Chicago,119,True,True,Chicago,2020-04-19 17:05:54,41.88592,Chicago,-87.66717,60602,Chicago,Chicago,Ashland Ave & Lake St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,16,3,Chicago,120,True,True,Chicago,2020-04-19 16:10:12,41.853005,Chicago,-87.630578,60602,Chicago,Chicago,Wentworth Ave & Cermak Rd (Temp),IN_SERVICE,1,IN_SERVICE,False,19
0.0,5,13,Chicago,121,True,True,Chicago,2020-04-19 19:45:13,41.802562,Chicago,-87.590368,60602,Chicago,Chicago,Blackstone Ave & Hyde Park Blvd,IN_SERVICE,1,IN_SERVICE,False,19
0.0,5,10,Chicago,122,True,True,Chicago,2020-04-19 18:31:58,41.87501,Chicago,-87.67328,60602,Chicago,Chicago,Ogden Ave & Congress Pkwy,IN_SERVICE,1,IN_SERVICE,False,15
0.0,9,6,Chicago,123,True,True,Chicago,2020-04-19 21:54:15,41.922695,Chicago,-87.697153,60602,Chicago,Chicago,California Ave & Milwaukee Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,12,3,Chicago,124,True,True,Chicago,2020-04-19 22:01:44,41.855048,Chicago,-87.675726,60602,Chicago,Chicago,Damen Ave & Cullerton St,IN_SERVICE,1,IN_SERVICE,False,15
